team,coach_name,note,n_plays_primary,n_plays_redzone,n_plays_goalline,proe_primary,proe_redzone,proe_goalline,deep_shot_rate_primary,deep_shot_rate_redzone,deep_shot_rate_goalline,no_huddle_rate_primary,no_huddle_rate_redzone,no_huddle_rate_goalline,sec_per_play_primary,sec_per_play_redzone,sec_per_play_goalline
JAX,Liam Coen,,866,160,47,2.6311,0.5591,-13.6621,0.1568,0.013,0.0,0.0797,0.0312,0.0,34.23,29.48,39.26
KC,Andy Reid,,9348,1390,488,6.013,8.2607,3.9582,0.1326,0.0062,0.0,0.0214,0.0194,0.0102,34.5,27.18,35.84
LA,Sean McVay,,7717,1157,453,0.3258,-2.2861,-3.0856,0.1296,0.0084,0.0,0.1327,0.0916,0.1082,33.63,27.6,33.85
LAC,Jim Harbaugh,,1756,241,76,-0.0546,-0.3743,-6.8306,0.1464,0.025,0.0,0.0393,0.0373,0.0132,34.29,29.3,33.81
LV,Klint Kubiak,"PROXY, CORRECTED 2026-08-20: real tenure is Saints OC 2024 + Seahawks OC 2025, NOT two full seasons under Macdonald in Seattle -- the prior alias to Mike Macdonald's 2024-2025 Seahawks HC entry wrongly assumed Kubiak was in Seattle for both years. Rebuilt from the real combination: NO/2024 + SEA/2025 play-by-play.",1728,217,71,-4.8024,-11.733,-15.621,0.1436,0.0,0.0,0.0903,0.0645,0.0704,35.65,27.21,33.35
MIA,Jeff Hafley,"NO REAL HISTORY under this name in 2015-2025 PBP -- left blank for Cam to hand-fill, per 2026-08-17 session (not auto-filled with a league-average placeholder).",,,,,,,,,,,,,,,
MIN,Kevin O'Connell,,3475,480,180,1.1753,6.4088,8.5496,0.1349,0.0068,0.0,0.1341,0.0792,0.0389,32.85,27.53,35.35
NE,Mike Vrabel,,5939,732,284,-6.766,-2.3493,-5.5286,0.1334,0.0084,0.0,0.0978,0.1038,0.1092,34.16,25.83,35.1
NO,Kellen Moore,,937,100,26,-2.0836,-10.5172,-5.55,0.134,0.0667,0.0,0.2263,0.25,0.1154,30.18,26.7,31.58
NYG,John Harbaugh,,9722,1357,457,-3.686,-5.1619,-7.7222,0.1354,0.0079,0.0,0.0668,0.0523,0.0372,34.05,28.11,35.11
NYJ,Aaron Glenn,,875,102,27,-7.6952,-14.7417,-11.7266,0.1016,0.0204,0.0,0.1006,0.0882,0.037,32.93,31.05,26.44
PHI,Nick Sirianni,,4440,629,276,-1.7527,-11.6399,-20.8526,0.1393,0.0245,0.0,0.1874,0.2273,0.2283,33.29,26.19,31.96
PIT,Mike McCarthy,,7895,1055,393,0.8949,4.2053,1.5443,0.135,0.0164,0.0,0.1511,0.1081,0.0865,32.88,25.93,32.11
SEA,Mike Macdonald,,1711,200,92,-1.3492,-4.9411,-12.4687,0.1266,0.0408,0.0,0.1508,0.13,0.1196,33.63,25.64,34.45
SF,Kyle Shanahan,,7642,1108,432,-2.9831,-3.8491,-6.5623,0.1087,0.0,0.0,0.0514,0.0433,0.0278,34.79,27.62,34.07
TB,Todd Bowles,,7162,805,310,-1.7143,-0.7078,3.0262,0.1402,0.0217,0.0,0.073,0.0484,0.0613,34.18,28.45,33.03
TEN,Robert Saleh,,3593,416,146,-0.1728,-1.287,3.0393,0.1164,0.0042,0.0,0.0921,0.0841,0.0685,34.6,28.92,30.6
WAS,Dan Quinn,,6274,876,361,1.3951,-5.0964,-3.0315,0.1264,0.0136,0.0,0.2284,0.2363,0.2161,33.12,27.66,32.41
