team,field,value,note
GB,run_def_z,-0.72,"PFF 2026 D-line rank #27 (run tilt)"
GB,pass_def_z,-0.85,"PFF 2026 D-line rank #27 (pass tilt)"
NO,run_def_z,-0.99,"PFF 2026 D-line rank #28 (run tilt)"
NO,pass_def_z,-0.73,"PFF 2026 D-line rank #28 (pass tilt)"
NYJ,run_def_z,-0.66,"PFF 2026 D-line rank #29 (run tilt)"
NYJ,pass_def_z,-1.16,"PFF 2026 D-line rank #29 (pass tilt)"
MIA,run_def_z,-0.93,"PFF 2026 D-line rank #30 (run tilt)"
MIA,pass_def_z,-1.09,"PFF 2026 D-line rank #30 (pass tilt)"
ARI,run_def_z,-1.19,"PFF 2026 D-line rank #31 (run tilt)"
ARI,pass_def_z,-1.07,"PFF 2026 D-line rank #31 (pass tilt)"
ATL,run_def_z,-1.06,"PFF 2026 D-line rank #32 (run tilt)"
ATL,pass_def_z,-1.65,"PFF 2026 D-line rank #32 (pass tilt)"
